Plate #	Row	Column	ORF
1	A	1	YHR082C
1	A	2	YML117W
1	A	3	YDL240W
1	A	4	YHR077C
1	A	5	YDR379W
1	A	6	YOL087C
1	A	7	YNL123W
1	A	8	YGR094W
1	A	9	YKL015W
1	A	10	YCL061C
1	A	11	YMR080C
1	A	12	YMR196W
1	A	13	YIL130W
1	A	14	YOL100W
1	A	15	YOR335C
1	A	16	YJL050W
1	A	17	YMR019W
1	A	18	YGR274C
1	A	19	YJL154C
1	A	20	YNL132W
1	A	21	YPR104C
1	A	22	YLR249W
1	A	23	YDL220C
1	A	24	YOL098C
1	B	1	YJL042W
1	B	2	YLR106C
1	B	3	YIL126W
1	B	4	YFR019W
1	B	5	BLANK
1	B	6	YDL171C
1	B	7	YDR159W
1	B	8	YHR023W
1	B	9	YPL137C
1	B	10	YJL109C
1	B	11	YML081W
1	B	12	YKR031C
1	B	13	YFR016C
1	B	14	YNL297C
1	B	15	YDR335W
1	B	16	YOR326W
1	B	17	YML091C
1	B	18	YKL101W
1	B	19	YOR086C
1	B	20	YJL095W
1	B	21	YJR041C
1	B	22	YJR137C
1	B	23	YOR207C
1	B	24	YCR081W
1	C	1	YLR187W
1	C	2	YPR022C
1	C	3	YGL201C
1	C	4	YGR134W
1	C	5	YKL173W
1	C	6	YGL094C
1	C	7	YHR073W
1	C	8	YKL092C
1	C	9	YLR442C
1	C	10	YBR150C
1	C	11	YMR288W
1	C	12	YJR035W
1	C	13	YOL090W
1	C	14	YHR102W
1	C	15	YEL043W
1	C	16	YPR097W
1	C	17	YGR204W
1	C	18	YNL267W
1	C	19	YML076C
1	C	20	YMR261C
1	C	21	YPR019W
1	C	22	YKL197C
1	C	23	BLANK
1	C	24	YPL075W
1	D	1	YBR115C
1	D	2	YKR054C
1	D	3	YDR227W
1	D	4	YNR016C
1	D	5	YOL138C
1	D	6	YMR207C
1	D	7	YOR296W
1	D	8	YBR275C
1	D	9	YLR436C
1	D	10	YKL014C
1	D	11	YDR293C
1	D	12	YML059C
1	D	13	YJL074C
1	D	14	YGR098C
1	D	15	YOR151C
1	D	16	YHR186C
1	D	17	YLR189C
1	D	18	YDR334W
1	D	19	YNL106C
1	D	20	YAL029C
1	D	21	YFR031C
1	D	22	YDR326C
1	D	23	YDR128W
1	D	24	YDR443C
1	E	1	YBL037W
1	E	2	YGL151W
1	E	3	YLL031C
1	E	4	YER176W
1	E	5	YOR127W
1	E	6	YLR383W
1	E	7	YOR363C
1	E	8	YMR218C
1	E	9	YBL005W
1	E	10	YER111C
1	E	11	YIR023W
1	E	12	YLR223C
1	E	13	YDL190C
1	E	14	YHR119W
1	E	15	YGR140W
1	E	16	YGL178W
1	E	17	YIL002C
1	E	18	YML010W
1	E	19	YLR129W
1	E	20	YDR325W
1	E	21	YER075C
1	E	22	YNL327W
1	E	23	YER024W
1	E	24	YGL207W
1	F	1	YBL047C
1	F	2	YDR457W
1	F	3	YGR061C
1	F	4	YLR430W
1	F	5	YBR081C
1	F	6	YCR093W
1	F	7	YLR398C
1	F	8	YPL231W
1	F	9	YDL195W
1	F	10	YER132C
1	F	11	YOR227W
1	F	12	YOR341W
1	F	13	YMR304W
1	F	14	YOR191W
1	F	15	YPL110C
1	F	16	YLR247C
1	F	17	YAR009C
1	F	18	YBL034C
1	F	19	YBR218C
1	F	20	YER164W
1	F	21	YKL038W
1	F	22	YDL112W
1	F	23	YGR097W
1	F	24	YMR259C
1	G	1	YDR060W
1	G	2	YKL105C
1	G	3	YDR028C
1	G	4	YOR304W
1	G	5	YOR048C
1	G	6	YER110C
1	G	7	YIR002C
1	G	8	YOL045W
1	G	9	YMR275C
1	G	10	YOL034W
1	G	11	YNL118C
1	G	12	YGR218W
1	G	13	YMR086W
1	G	14	YDR291W
1	G	15	YJR089W
1	G	16	YBL076C
1	G	17	YIL137C
1	G	18	YKL157W
1	G	19	YMR124W
1	G	20	YDR017C
1	G	21	YPR135W
1	G	22	YER114C
1	G	23	YIL017C
1	G	24	YIL031W
1	H	1	YJR127C
1	H	2	YDR150W
1	H	3	YDR301W
1	H	4	YNL262W
1	H	5	YDR216W
1	H	6	YKL182W
1	H	7	YKL215C
1	H	8	YLR024C
1	H	9	YOR124C
1	H	10	YNL172W
1	H	11	YBL007C
1	H	12	YDR283C
1	H	13	YNL257C
1	H	14	YNL139C
1	H	15	YLR084C
1	H	16	YML072C
1	H	17	YPL226W
1	H	18	YPL242C
1	H	19	YGL062W
1	H	20	YNL102W
1	H	21	YLR032W
1	H	22	YAL024C
1	H	23	YLR410W
1	H	24	YLR086W
1	I	1	YGR047C
1	I	2	YAL019W
1	I	3	YIL125W
1	I	4	YIL151C
1	I	5	YGL241W
1	I	6	YBL063W
1	I	7	YDR430C
1	I	8	YKL205W
1	I	9	YBR084W
1	I	10	YDL215C
1	I	11	YMR287C
1	I	12	YIL112W
1	I	13	YHR120W
1	I	14	YOL145C
1	I	15	YNL127W
1	I	16	YIL156W
1	I	17	YLL003W
1	I	18	YDR310C
1	I	19	YML109W
1	I	20	YJR132W
1	I	21	YDR069C
1	I	22	YEL061C
1	I	23	YML111W
1	I	24	YMR189W
1	J	1	YGR270W
1	J	2	YGL195W
1	J	3	YAL017W
1	J	4	YJL130C
1	J	5	YJR092W
1	J	6	YJL207C
1	J	7	YDL019C
1	J	8	YHL030W
1	J	9	YKL129C
1	J	10	YDL140C
1	J	11	YDR097C
1	J	12	YMR219W
1	J	13	YHR155W
1	J	14	YNL242W
1	J	15	YGL140C
1	J	16	YOL004W
1	J	17	YKR096W
1	J	18	YDR180W
1	J	19	YGR233C
1	J	20	YOR116C
1	J	21	YHR158C
1	J	22	YDR464W
1	J	23	YER013W
1	J	24	YMR176W
1	K	1	YKL210W
1	K	2	YBR245C
1	K	3	YOR349W
1	K	4	YJR109C
1	K	5	YAL035W
1	K	6	YNL163C
1	K	7	YGR240C
1	K	8	YPL022W
1	K	9	YAR019C
1	K	10	YJR091C
1	K	11	YMR125W
1	K	12	YPR115W
1	K	13	YMR205C
1	K	14	YER033C
1	K	15	YGR162W
1	K	16	YKR086W
1	K	17	YIL075C
1	K	18	YNL278W
1	K	19	YHL007C
1	K	20	YCR092C
1	K	21	YBL104C
1	K	22	YKL033W
1	K	23	YBR017C
1	K	24	YIL128W
1	L	1	YIL159W
1	L	2	YLR454W
1	L	3	YLR371W
1	L	4	YPL085W
1	L	5	YPL016W
1	L	6	YGR271W
1	L	7	YOR330C
1	L	8	YPL082C
1	L	9	YMR128W
1	L	10	YMR229C
1	L	11	YNL091W
1	L	12	YGL206C
1	L	13	YPL012W
1	L	14	YDR127W
1	L	15	YMR109W
1	L	16	YPR184W
1	L	17	YAL001C
1	L	18	YGL150C
1	L	19	YPR049C
1	L	20	YEL022W
1	L	21	YLR035C-A
1	L	22	YMR280C
1	L	23	YDR507C
1	L	24	YJR031C
1	M	1	YEL055C
1	M	2	YPL115C
1	M	3	YPL183C
1	M	4	YBL101C
1	M	5	YPL040C
1	M	6	YBR059C
1	M	7	YOR346W
1	M	8	YML100W
1	M	9	YNL236W
1	M	10	YPL160W
1	M	11	YBR112C
1	M	12	YLR071C
1	M	13	YBR073W
1	M	14	YPR042C
1	M	15	YDR421W
1	M	16	YHR154W
1	M	17	YDR356W
1	M	18	YJL098W
1	M	19	YLR409C
1	M	20	YDL223C
1	M	21	YDR081C
1	M	22	YPL009C
1	M	23	YDR103W
1	M	24	YGR258C
1	N	1	YOR336W
1	N	2	YHR165C
1	N	3	YFL036W
1	N	4	YER155C
1	N	5	YNL250W
1	N	6	YNL271C
1	N	7	YMR012W
1	N	8	YBR208C
1	N	9	YGL133W
1	N	10	YOR290C
1	N	11	YNL273W
1	N	12	YJR140C
1	N	13	YCR033W
1	N	14	YJR138W
1	N	15	YPR122W
1	N	16	YGL173C
1	N	17	YJL076W
1	N	18	YGL197W
1	N	19	YLR272C
1	N	20	YGR116W
1	N	21	YBL105C
1	N	22	YPR189W
1	N	23	YER129W
1	N	24	YCR042C
1	O	1	YGR188C
1	O	2	YML104C
1	O	3	YDR495C
1	O	4	YNR067C
1	O	5	YOL021C
1	O	6	YOR109W
1	O	7	YBL085W
1	O	8	YDL102W
1	O	9	YOR160W
1	O	10	YMR308C
1	O	11	YBR079C
1	O	12	YOL051W
1	O	13	YGL227W
1	O	14	YFL034W
1	O	15	YGR100W
1	O	16	YGL013C
1	O	17	BLANK
1	O	18	YLR039C
1	O	19	YGR089W
1	O	20	BLANK
1	O	21	YER032W
1	O	22	YCL024W
1	O	23	YGL093W
1	O	24	YOL089C
1	P	1	YML049C
1	P	2	YIL129C
1	P	3	YLR384C
1	P	4	YER172C
1	P	5	YDR217C
1	P	6	YLR422W
1	P	7	YMR076C
1	P	8	YFL033C
1	P	9	YJL197W
1	P	10	YDR141C
1	P	11	YGR090W
1	P	12	YCL014W
1	P	13	YFL008W
1	P	14	YNR031C
1	P	15	YPR010C
1	P	16	YHR164C
1	P	17	YEL025C
1	P	18	YKL010C
1	P	19	YJL092W
1	P	20	YMR190C
1	P	21	BLANK
1	P	22	YNL088W
1	P	23	BLANK
1	P	24	BLANK
2	A	1	YJL168C
2	A	2	YNR033W
2	A	3	YLR149C
2	A	4	YLR397C
2	A	5	YNR044W
2	A	6	YML006C
2	A	7	YLR335W
2	A	8	YLL054C
2	A	9	YHR074W
2	A	10	YOR140W
2	A	11	YOL057W
2	A	12	YOR361C
2	A	13	YFR015C
2	A	14	YMR179W
2	A	15	YKL222C
2	A	16	YNL258C
2	A	17	YGL249W
2	A	18	YGR264C
2	A	19	YBL111C
2	A	20	YLR135W
2	A	21	YLR035C
2	A	22	YGR003W
2	A	23	YLR072W
2	A	24	YBR007C
2	B	1	YMR031C
2	B	2	YKR021W
2	B	3	YJL204C
2	B	4	YLL026W
2	B	5	YDR207C
2	B	6	YPL150W
2	B	7	YBL052C
2	B	8	YGL180W
2	B	9	YNL216W
2	B	10	YNR047W
2	B	11	YJL102W
2	B	12	YLR451W
2	B	13	YMR160W
2	B	14	YJL056C
2	B	15	YBR049C
2	B	16	YML034W
2	B	17	YMR049C
2	B	18	YPL141C
2	B	19	YOR233W
2	B	20	YNL068C
2	B	21	YHR204W
2	B	22	YLR115W
2	B	23	YNL183C
2	B	24	YOR373W
2	C	1	YLR381W
2	C	2	YOR172W
2	C	3	YPR141C
2	C	4	YDR208W
2	C	5	YDR164C
2	C	6	YBR142W
2	C	7	YMR192W
2	C	8	YMR167W
2	C	9	YOL017W
2	C	10	YKR027W
2	C	11	YDR436W
2	C	12	YLR069C
2	C	13	YLR424W
2	C	14	YPL158C
2	C	15	YLR258W
2	C	16	YPL074W
2	C	17	YMR037C
2	C	18	YKR029C
2	C	19	YDL074C
2	C	20	YPR031W
2	C	21	YOL141W
2	C	22	YHR178W
2	C	23	YPL106C
2	C	24	YPR090W
2	D	1	YDR385W
2	D	2	YGL049C
2	D	3	YKL022C
2	D	4	BLANK
2	D	5	YIL038C
2	D	6	YBR225W
2	D	7	YDR251W
2	D	8	BLANK
2	D	9	YJL176C
2	D	10	YOR129C
2	D	11	YGL229C
2	D	12	BLANK
2	D	13	YDL132W
2	D	14	YLR386W
2	D	15	YDR485C
2	D	16	BLANK
2	D	17	YGL216W
2	D	18	YGR150C
2	D	19	YCL030C
2	D	20	YLR347C
2	D	21	BLANK
2	D	22	YNL201C
2	D	23	YJL200C
2	D	24	YBR237W
2	E	1	YOR001W
2	E	2	YAL043C
2	E	3	YBL097W
2	E	4	YGL009C
2	E	5	YGL245W
2	E	6	YDR520C
2	E	7	YDL167C
2	E	8	YOL006C
2	E	9	YAL054C
2	E	10	YDL028C
2	E	11	YOR206W
2	E	12	YOR112W
